date,price
1/31/2003,367.5
2/28/2003,347.5
3/31/2003,334.9
4/30/2003,336.8
5/30/2003,361.4
6/30/2003,346.0
7/31/2003,354.8
8/29/2003,375.6
9/30/2003,388.0
10/31/2003,386.3
11/28/2003,398.4
12/31/2003,416.3
1/30/2004,399.8
2/27/2004,395.9
3/31/2004,423.7
4/30/2004,388.5
5/31/2004,393.3
6/30/2004,395.8
7/30/2004,391.4
8/31/2004,407.3
9/30/2004,415.7
10/29/2004,425.6
11/30/2004,453.4
12/31/2004,435.6
1/31/2005,422.2
2/28/2005,435.5
3/31/2005,427.5
4/29/2005,435.7
5/31/2005,414.5
6/30/2005,437.1
7/29/2005,429.0
8/31/2005,433.3
9/30/2005,473.3
10/31/2005,470.8
11/30/2005,495.7
12/30/2005,513.0
1/31/2006,568.8
2/28/2006,556.0
3/31/2006,582.0
4/28/2006,644.0
5/31/2006,653.0
6/30/2006,613.5
7/31/2006,632.5
8/31/2006,623.5
9/29/2006,599.3
10/31/2006,603.8
11/30/2006,646.7
12/29/2006,632.0
1/31/2007,650.5
2/28/2007,664.2
3/30/2007,661.8
4/30/2007,677.0
5/31/2007,659.1
6/29/2007,650.5
7/31/2007,665.5
8/31/2007,672.0
9/28/2007,743.0
10/31/2007,789.5
11/30/2007,783.5
12/31/2007,833.8
1/31/2008,923.3
2/29/2008,971.5
3/31/2008,933.5
4/30/2008,871.0
5/30/2008,885.8
6/30/2008,930.3
7/31/2008,918.0
8/29/2008,833.0
9/30/2008,884.5
10/31/2008,730.8
11/28/2008,814.5
12/31/2008,869.8
1/30/2009,919.5
2/27/2009,952.0
3/31/2009,916.5
4/30/2009,883.3
5/29/2009,975.5
6/30/2009,934.5
7/31/2009,939.0
8/31/2009,955.5
9/30/2009,995.8
10/30/2009,1040.0
11/30/2009,1175.8
12/31/2009,1087.5
1/29/2010,1078.5
2/26/2010,1108.3
3/31/2010,1115.5
4/30/2010,1179.3
5/31/2010,1207.5
6/30/2010,1244.0
7/30/2010,1169.0
8/31/2010,1246.0
9/30/2010,1307.0
10/29/2010,1346.8
11/30/2010,1383.5
12/31/2010,1405.5
1/31/2011,1327.0
2/28/2011,1411.0
3/31/2011,1439.0
4/29/2011,1535.5
5/31/2011,1536.5
6/30/2011,1505.5
7/29/2011,1628.5
8/31/2011,1813.5
9/30/2011,1620.0
10/31/2011,1722.0
11/30/2011,1746.0
12/30/2011,1531.0
1/31/2012,1744.0
2/29/2012,1770.0
3/30/2012,1662.5
4/30/2012,1651.3
5/31/2012,1558.0
6/29/2012,1598.5
7/31/2012,1622.0
8/31/2012,1648.5
9/28/2012,1776.0
10/31/2012,1719.0
11/30/2012,1726.0
12/31/2012,1657.5
1/31/2013,1664.8
2/28/2013,1588.5
3/29/2013,1598.3
4/30/2013,1469.0
5/31/2013,1394.5
